scheme_name,category,alpha_ann,beta,r_squared,sharpe_ratio
SBI Bluechip Fund - Regular Plan - Growth,Equity,0.0,1.0,0.0,0.9581790530413226
SBI Bluechip Fund - Direct Plan - Growth,Equity,0.0,1.0,0.0,0.710819869499069
SBI Small Cap Fund - Regular Plan - Growth,Equity,0.0,1.0,0.0,0.7223110774046346
SBI Small Cap Fund - Direct Plan - Growth,Equity,0.0,1.0,0.0,-0.2174863966214865
SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.0,1.0,0.0,-0.588297926321497
HDFC Top 100 Fund - Regular Plan - Growth,Equity,0.0,1.0,0.0,-0.34056307462808233
HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.0,1.0,0.0,0.5441944185964138
HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.8676775915074133
HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.0,1.0,0.0,0.10710698812645388
HDFC Short Term Debt Fund - Regular - Growth,Debt,0.0,1.0,0.0,-0.8919125569304914
ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.5619733632371376
ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.0,1.0,0.0,0.7840606521068779
ICICI Pru Midcap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.9565061607729491
ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.42598485496559335
ICICI Pru Liquid Fund - Regular - Growth,Debt,0.0,1.0,0.0,-2.31532648194955
Nippon India Large Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.8365676866952937
Nippon India Large Cap Fund - Direct - Growth,Equity,0.0,1.0,0.0,0.4185077103354242
Nippon India Small Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.23523077223219316
Nippon India ETF Nifty 50 BeES,Equity,0.0,1.0,0.0,0.43216881323280804
Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.0,1.0,0.0,-0.7007737754452117
Kotak Bluechip Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.27616273108755324
Kotak Emerging Equity Fund - Regular - Growth,Equity,0.0,1.0,0.0,-0.09423916793014116
Kotak Flexicap Fund - Regular - Growth,Equity,0.0,1.0,0.0,1.0707310443806608
Kotak Liquid Fund - Regular - Growth,Debt,0.0,1.0,0.0,-2.7195875945335057
Axis Bluechip Fund - Regular - Growth,Equity,0.0,1.0,0.0,-0.13999515528585316
Axis Bluechip Fund - Direct - Growth,Equity,0.0,1.0,0.0,-0.052357753980414486
Axis Midcap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.7727755608953236
Axis Small Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,-0.23372181841055262
ABSL Frontline Equity Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.7858054799972969
ABSL Small Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,-0.027111047109977006
ABSL Liquid Fund - Regular - Growth,Debt,0.0,1.0,0.0,-3.369139617725522
UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.5745018774822729
UTI Mid Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,-0.33872836470126894
UTI Flexi Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.39972899783203775
Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,1.2015161498635727
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.691530962222913
Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.0,1.0,0.0,1.0067817241081165
DSP Top 100 Equity Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.2514683248777431
DSP Midcap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.9028528265210789
DSP Small Cap Fund - Regular - Growth,Equity,0.0,1.0,0.0,0.7269455033984438
