amfi_code,scheme_name,hhi_score,unique_sectors_count,top_sector,top_sector_weight_pct
119092,Axis Bluechip Fund - Regular - Growth,2967.6908999999996,7,IT,48.69
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2549.9193999999998,7,Banking,39.82
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,2531.5500000000006,6,Banking,41.2
102887,UTI Flexi Cap Fund - Regular - Growth,2513.8255,6,Pharma,39.04
149323,DSP Midcap Fund - Regular - Growth,2410.7663999999995,7,Pharma,41.339999999999996
120505,ICICI Pru Midcap Fund - Regular - Growth,2386.9504,7,Pharma,40.75
118635,Nippon India ETF Nifty 50 BeES,2374.9677,6,IT,39.35
119599,SBI Small Cap Fund - Direct Plan - Growth,2323.612,7,Banking,34.08
120506,ICICI Pru Value Discovery Fund - Regular - Growth,2314.6433999999995,7,Banking,30.4
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2276.4744,7,Banking,35.97
119552,SBI Bluechip Fund - Direct Plan - Growth,2275.0834999999997,7,Automobile,32.48
101207,ABSL Small Cap Fund - Regular - Growth,2227.2651,6,Pharma,35.07
120504,ICICI Pru Bluechip Fund - Direct - Growth,2212.1303,8,Banking,35.61
118633,Nippon India Large Cap Fund - Direct - Growth,2212.0031999999997,7,Banking,34.18
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,2180.8585,6,Banking,33.8
120841,Kotak Bluechip Fund - Regular - Growth,2158.9314999999997,7,Pharma,27.46
118632,Nippon India Large Cap Fund - Regular - Growth,2072.5894000000003,6,Telecom,30.44
148567,Mirae Asset Large Cap Fund - Regular - Growth,2012.4815,6,Banking,30.78
149324,DSP Small Cap Fund - Regular - Growth,1887.0081999999998,9,Pharma,32.519999999999996
119598,SBI Small Cap Fund - Regular Plan - Growth,1880.8485000000003,7,IT,31.84
119093,Axis Bluechip Fund - Direct - Growth,1842.3320000000003,8,IT,26.67
149322,DSP Top 100 Equity Fund - Regular - Growth,1826.9533,7,Banking,28.64
120503,ICICI Pru Bluechip Fund - Regular - Growth,1821.6750000000002,7,FMCG,30.67
102885,UTI Nifty 50 Index Fund - Regular - Growth,1807.1201999999998,8,Utilities,28.95
100016,HDFC Top 100 Fund - Regular Plan - Growth,1805.8807999999997,8,IT,25.9
101206,ABSL Frontline Equity Fund - Regular - Growth,1800.4224999999997,7,Banking,25.09
119094,Axis Midcap Fund - Regular - Growth,1751.0024999999998,6,FMCG,23.17
125497,HDFC Top 100 Fund - Direct Plan - Growth,1724.1088,7,IT,26.92
120842,Kotak Emerging Equity Fund - Regular - Growth,1620.6189,8,Automobile,26.66
118634,Nippon India Small Cap Fund - Regular - Growth,1602.9924,8,FMCG,25.23
119095,Axis Small Cap Fund - Regular - Growth,1595.8229000000001,8,IT,24.25
119551,SBI Bluechip Fund - Regular Plan - Growth,1424.9103999999998,8,Utilities,21.33
120843,Kotak Flexicap Fund - Regular - Growth,1362.0616,9,Utilities,19.94
102886,UTI Mid Cap Fund - Regular - Growth,1240.2024000000001,10,Consumer Goods,18.99
