company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Defensive Dividend Payers,0.4047928422389586
ADANIENSOL,4,Emerging Growth,0.6117551581343365
ADANIENT,0,Defensive Dividend Payers,1.2381748101482244
ADANIGREEN,4,Emerging Growth,2.485721825882678
ADANIPORTS,0,Defensive Dividend Payers,1.6087437592629938
ADANIPOWER,1,Distressed or Turnaround,1.111981643397349
AMBUJACEM,1,Distressed or Turnaround,0.8436078240525933
APOLLOHOSP,1,Distressed or Turnaround,0.7847891217596458
ASIANPAINT,1,Distressed or Turnaround,0.5667423312219805
ATGL,4,Emerging Growth,0.40025153418665643
AXISBANK,2,Value Cyclicals,1.1395060835557156
BAJAJ-AUTO,1,Distressed or Turnaround,0.3731440792582576
BAJAJFINSV,4,Emerging Growth,1.1676207565550814
BAJAJHLDNG,4,Emerging Growth,1.6529893675804281
BAJFINANCE,4,Emerging Growth,0.8780410924191847
BANKBARODA,2,Value Cyclicals,1.6695134819973534
BEL,0,Defensive Dividend Payers,0.3211361039283186
BHARTIARTL,1,Distressed or Turnaround,1.0552150938726368
BHEL,0,Defensive Dividend Payers,2.1655494354267875
BOSCHLTD,1,Distressed or Turnaround,0.8348313021219905
BPCL,1,Distressed or Turnaround,0.4942295594323968
BRITANNIA,1,Distressed or Turnaround,1.509506621948513
CANBK,2,Value Cyclicals,2.466776796254572
CHOLAFIN,2,Value Cyclicals,0.9874090630599837
CIPLA,1,Distressed or Turnaround,7.244100579297564
COALINDIA,1,Distressed or Turnaround,0.29962882401197083
DABUR,1,Distressed or Turnaround,0.8605638941596205
DIVISLAB,1,Distressed or Turnaround,0.561012945447551
DLF,1,Distressed or Turnaround,2.153974187331744
DMART,4,Emerging Growth,0.5429868988883625
DRREDDY,1,Distressed or Turnaround,1.3991976162232747
EICHERMOT,1,Distressed or Turnaround,0.582018399409482
GAIL,1,Distressed or Turnaround,0.3828444095491564
GODREJCP,1,Distressed or Turnaround,0.5984870753870402
GRASIM,0,Defensive Dividend Payers,0.49997919002903785
HAL,0,Defensive Dividend Payers,0.4321486988284224
HAVELLS,0,Defensive Dividend Payers,0.77817709582064
HCLTECH,1,Distressed or Turnaround,0.5882333295256371
HDFCBANK,2,Value Cyclicals,1.5244896133743502
HDFCLIFE,4,Emerging Growth,0.5016120357889089
HEROMOTOCO,1,Distressed or Turnaround,0.9990286924045876
HINDALCO,1,Distressed or Turnaround,0.28100852432973844
HINDUNILVR,1,Distressed or Turnaround,0.1621684940001733
ICICIBANK,2,Value Cyclicals,1.5465899830668433
ICICIGI,1,Distressed or Turnaround,0.8227755434291597
ICICIPRULI,4,Emerging Growth,1.916609101922762
INDIGO,1,Distressed or Turnaround,2.3957718132765193
INDUSINDBK,2,Value Cyclicals,0.9491547338569705
INFY,1,Distressed or Turnaround,0.6215434676719238
IOC,1,Distressed or Turnaround,0.5217309129467708
IRCTC,1,Distressed or Turnaround,1.4203662003641206
IRFC,2,Value Cyclicals,0.713558130493674
ITC,1,Distressed or Turnaround,0.33926491016853977
JINDALSTEL,1,Distressed or Turnaround,1.1530131636785148
JIOFIN,4,Emerging Growth,0.8280756815312538
JSWENERGY,1,Distressed or Turnaround,0.8006686522843066
JSWSTEEL,4,Emerging Growth,0.9012429949356827
KOTAKBANK,2,Value Cyclicals,3.544215550682674
LICI,1,Distressed or Turnaround,2.111648862690596
LODHA,1,Distressed or Turnaround,1.696291622714898
LT,0,Defensive Dividend Payers,0.36065673721797314
LTIM,4,Emerging Growth,1.434713427960734
M&M,1,Distressed or Turnaround,0.7777659079794073
MARUTI,1,Distressed or Turnaround,0.2877030382374924
MOTHERSON,1,Distressed or Turnaround,0.5358147520184133
NAUKRI,4,Emerging Growth,0.8539877214781864
NESTLEIND,1,Distressed or Turnaround,0.826282524986566
NHPC,1,Distressed or Turnaround,1.518153657086949
NTPC,1,Distressed or Turnaround,0.7289054828571264
ONGC,1,Distressed or Turnaround,0.29871703916477893
PFC,2,Value Cyclicals,0.9972358036960608
PIDILITIND,1,Distressed or Turnaround,0.5144552991882811
PNB,3,High-Quality Compounders,0.0
POWERGRID,1,Distressed or Turnaround,1.0405118820943342
RECLTD,2,Value Cyclicals,0.9573416189517499
RELIANCE,1,Distressed or Turnaround,0.4802897013977576
SBILIFE,4,Emerging Growth,0.5776019315992598
SBIN,0,Defensive Dividend Payers,2.303176630749918
SHREECEM,1,Distressed or Turnaround,0.3159709849406625
SHRIRAMFIN,4,Emerging Growth,1.0337562174992112
SIEMENS,0,Defensive Dividend Payers,1.617222516404184
SUNPHARMA,1,Distressed or Turnaround,1.0216352154842339
TATACONSUM,4,Emerging Growth,1.5528339904361872
TATAMOTORS,1,Distressed or Turnaround,0.5528003331672983
TATAPOWER,4,Emerging Growth,0.921954049854802
TATASTEEL,1,Distressed or Turnaround,0.5575582104943299
TCS,1,Distressed or Turnaround,0.2549918440475208
TECHM,1,Distressed or Turnaround,0.1882097558000798
TITAN,4,Emerging Growth,1.0160448097812662
TORNTPHARM,1,Distressed or Turnaround,0.2958597903070288
TRENT,4,Emerging Growth,1.966468872473855
TVSMOTOR,1,Distressed or Turnaround,0.9851800408504814
