table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-07-17 23:15:08,1.2
sectors,92,92,0,2026-07-17 23:15:08,0.135
profitandloss,1276,1073,203,2026-07-17 23:15:09,0.961
balancesheet,1312,1140,172,2026-07-17 23:15:10,0.699
cashflow,1187,1056,131,2026-07-17 23:15:10,0.46
analysis,20,4,16,2026-07-17 23:15:10,0.09
documents,1585,1456,129,2026-07-17 23:18:20,189.137
prosandcons,16,14,2,2026-07-17 23:18:20,0.08
stock_prices,5520,5520,0,2026-07-17 23:18:21,1.311
market_cap,552,552,0,2026-07-17 23:18:21,0.283
financial_ratios,1184,1041,143,2026-07-17 23:18:22,0.634
peer_groups,56,56,0,2026-07-17 23:18:22,0.102
