company_id,previous_year,previous_pattern,latest_year,latest_pattern,change_description
ABB,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ADANIENSOL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ADANIPORTS,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ADANIPOWER,2024-03,Liquidating Assets,2024-09,Mixed,Moved from Liquidating Assets to Mixed
APOLLOHOSP,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ASIANPAINT,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
AXISBANK,2023-03,Mixed,2024-03,Growth Funded by Debt,Moved from Mixed to Growth Funded by Debt
BAJAJ-AUTO,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
BAJAJFINSV,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
BAJAJHLDNG,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
BAJFINANCE,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
BANKBARODA,2023-03,Pre-Revenue,2024-03,Growth Funded by Debt,Moved from Pre-Revenue to Growth Funded by Debt
BEL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
BHARTIARTL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
BHEL,2024-03,Distress Signal,2024-09,Mixed,Moved from Distress Signal to Mixed
BOSCHLTD,2024-03,Liquidating Assets,2024-09,Mixed,Moved from Liquidating Assets to Mixed
BPCL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
BRITANNIA,2024-03,Liquidating Assets,2024-09,Mixed,Moved from Liquidating Assets to Mixed
CANBK,2023-03,Growth Funded by Debt,2024-03,Reinvestor,Moved from Growth Funded by Debt to Reinvestor
CHOLAFIN,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
CIPLA,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
COALINDIA,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
DABUR,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
DIVISLAB,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
DMART,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
DRREDDY,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
EICHERMOT,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
GAIL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
GRASIM,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
HAL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
HAVELLS,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
HCLTECH,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
HDFCBANK,2023-03,Mixed,2024-03,Liquidating Assets,Moved from Mixed to Liquidating Assets
HDFCLIFE,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
HEROMOTOCO,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
HINDALCO,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
HINDUNILVR,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ICICIBANK,2023-03,Growth Funded by Debt,2024-03,Mixed,Moved from Growth Funded by Debt to Mixed
ICICIGI,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
INDIGO,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
INDUSINDBK,2023-03,Growth Funded by Debt,2024-03,Pre-Revenue,Moved from Growth Funded by Debt to Pre-Revenue
INFY,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
IOC,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
IRCTC,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
IRFC,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ITC,2024-03,Liquidating Assets,2024-09,Mixed,Moved from Liquidating Assets to Mixed
JSWSTEEL,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
KOTAKBANK,2023-03,Growth Funded by Debt,2024-03,Mixed,Moved from Growth Funded by Debt to Mixed
LICI,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
LT,2024-03,Liquidating Assets,2024-09,Mixed,Moved from Liquidating Assets to Mixed
LTIM,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
M&M,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
MARUTI,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
NESTLEIND,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
NHPC,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
NTPC,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
ONGC,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
PFC,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
PIDILITIND,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
PNB,2023-03,Mixed,2024-03,Growth Funded by Debt,Moved from Mixed to Growth Funded by Debt
POWERGRID,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
RECLTD,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
RELIANCE,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
SBILIFE,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
SBIN,2023-03,Growth Funded by Debt,2024-03,Reinvestor,Moved from Growth Funded by Debt to Reinvestor
SHREECEM,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
SHRIRAMFIN,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
SUNPHARMA,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
TATAMOTORS,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
TATAPOWER,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
TATASTEEL,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
TCS,2024-03,Liquidating Assets,2024-09,Mixed,Moved from Liquidating Assets to Mixed
TECHM,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
TITAN,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
TORNTPHARM,2024-03,Shareholder Returns,2024-09,Mixed,Moved from Shareholder Returns to Mixed
TRENT,2024-03,Reinvestor,2024-09,Mixed,Moved from Reinvestor to Mixed
TVSMOTOR,2024-03,Growth Funded by Debt,2024-09,Mixed,Moved from Growth Funded by Debt to Mixed
